Name,Stream,Bin Number,Stream Character,Zone,geometry
3102FL,Landfill,102,L,3,"c(-118.443704795891, 34.0674858787922, 0)"
3103FR,Recycle,103,R,3,"c(-118.443704795891, 34.0674858787922, 0)"
3104FL,Landfill,104,L,3,"c(-118.44041872001, 34.0674886532748, 0)"
3105FR,Recycle,105,R,3,"c(-118.440426703439, 34.067488821837, 0)"
3106DC,Compost,106,C,3,"c(-118.441896622707, 34.0674954138307, 0)"
3107DL,Landfill,107,L,3,"c(-118.441912728565, 34.0675114722747, 0)"
3108DR,Recycle,108,R,3,"c(-118.441917587917, 34.0675219485014, 0)"
3109FR,Recycle,109,R,3,"c(-118.440751394486, 34.0676533402898, 0)"
3110FL,Landfill,110,L,3,"c(-118.440756218869, 34.0676534415752, 0)"
3111FR,Recycle,111,R,3,"c(-118.444709123481, 34.0678228249855, 0)"
3112FL,Landfill,112,L,3,"c(-118.444709725411, 34.067824640155, 0)"
3113FL,Landfill,113,L,3,"c(-118.440569684463, 34.0679392497754, 0)"
3114FR,Recycle,114,R,3,"c(-118.440569656785, 34.0679454884708, 0)"
